id,lat,lon,generation,fuel
1297,38.531667,-99.308333,23,petroleum
1299,38.179722,-99.1125,300,petroleum
1300,39.0408,-98.1472,177,naturalgas
1305,38.363411,-97.68335,8160,naturalgas
1306,37.225,-100.3261,1154,petroleum
1307,39.1194,-97.7086,317,naturalgas
1312,39.8217,-100.5289,1154,petroleum
1313,38.6406,-95.8186,155,naturalgas
1314,38.5042,-94.9775,2,petroleum
1315,39.441979,-98.690296,13,naturalgas
1316,38.615579,-95.279742,328,naturalgas
1317,37.6359,-98.7433,2659,naturalgas
1319,38.893333,-98.856944,410,naturalgas
